,Provider_ID,Provider_Name,Provider_Street,Provider_City,Provider_State,Provider_Zip,Provider_Hospital_Referral_Region,APC,APC_Description,Beneficiaries,Comprehensive_APC_Services,Avg_Est_Total_submitted_amt,Avg_Medicare_Allowed,Avg_Medicare_pymt
1023,10118,Vaughan Regional Medical Center Parkway Campus,1015 Medical Center Parkway,Selma,AL,36701,AL - Birmingham,5302,Level 2 Upper GI Procedures,13.0,13,12996.1838461538,1235.12846153846,976.177692307692
1038,10126,Troy Regional Medical Center,1330 Highway 231 South,Troy,AL,36081,AL - Montgomery,5302,Level 2 Upper GI Procedures,31.0,36,9792.505,1108.49722222222,879.338055555555
1049,10130,St Vincent's St Clair,7063 Veterans Parkway,Pell City,AL,35125,AL - Birmingham,5302,Level 2 Upper GI Procedures,27.0,28,5562.78678571428,1161.7275,911.802857142857
1072,10131,Crestwood Medical Center,One Hospital Dr Se,Huntsville,AL,35801,AL - Huntsville,5302,Level 2 Upper GI Procedures,286.0,332,16172.0318072287,1151.13337349397,908.461084337352
1108,10139,Brookwood Baptist Medical Center,2010 Brookwood Medical Center Drive,Birmingham,AL,35209,AL - Birmingham,5302,Level 2 Upper GI Procedures,119.0,134,13889.3973880597,1143.05119402985,906.98119402985
1143,10144,Springhill Memorial Hospital,3719 Dauphin Street,Mobile,AL,36608,AL - Mobile,5302,Level 2 Upper GI Procedures,110.0,116,6695.53163793102,1086.75448275862,857.674482758619
1164,10149,Baptist Medical Center East,400 Taylor Road,Montgomery,AL,36117,AL - Montgomery,5302,Level 2 Upper GI Procedures,118.0,126,4640.68111111113,1056.15206349206,827.171904761905
1181,10157,Shoals Hospital,201 West Avalon Avenue,Muscle Shoals,AL,35661,AL - Birmingham,5302,Level 2 Upper GI Procedures,17.0,18,12958.7683333333,1065.15,848.66
1191,10158,Russellville Hospital,15155 Highway 43,Russellville,AL,35653,AL - Birmingham,5302,Level 2 Upper GI Procedures,21.0,22,7394.20181818182,1108.26,883.0
1201,10164,Coosa Valley Medical Center,315 W Hickory St,Sylacauga,AL,35150,AL - Birmingham,5302,Level 2 Upper GI Procedures,70.0,73,9049.72863013698,1059.25136986301,835.77698630137
1214,10168,Jack Hughston Memorial Hospital,4401 River Chase Drive,Phenix City,AL,36867,GA - Columbus,5302,Level 2 Upper GI Procedures,11.0,11,4640.71818181818,1175.24,936.37
1245,20001,Providence Alaska Medical Center,3200 Providence Drive,Anchorage,AK,99508,AK - Anchorage,5302,Level 2 Upper GI Procedures,64.0,73,9804.51876712328,1592.1506849315,1258.0006849315
1267,20006,Mat-Su Regional Medical Center,2500 South Woodworth Loop,Palmer,AK,99645,AK - Anchorage,5302,Level 2 Upper GI Procedures,32.0,33,12905.6133333333,1672.4709090909,1323.69787878787
1280,20008,Bartlett Regional Hospital,3260 Hospital Dr,Juneau,AK,99801,AK - Anchorage,5302,Level 2 Upper GI Procedures,,13,8213.27538461538,1760.71,1402.84
1297,20012,Fairbanks Memorial Hospital,1650 Cowles Street,Fairbanks,AK,99701,AK - Anchorage,5302,Level 2 Upper GI Procedures,18.0,23,3698.86608695652,1587.05,1252.9
1314,20017,Alaska Regional Hospital,2801 Debarr Road,Anchorage,AK,99508,AK - Anchorage,5302,Level 2 Upper GI Procedures,56.0,58,14760.4499999999,1621.46689655172,1284.79275862068
1331,20024,Central Peninsula General Hospital,250 Hospital Place,Soldotna,AK,99669,AK - Anchorage,5302,Level 2 Upper GI Procedures,13.0,13,5426.93,1760.71,1402.84
1363,30002,Banner - University Medical Center Phoenix,1111 East Mcdowell Road,Phoenix,AZ,85006,AZ - Phoenix,5302,Level 2 Upper GI Procedures,168.0,196,11769.0132653061,1363.62469387754,1079.44188775509
1398,30006,Tucson Medical Center,5301 East Grant Road,Tucson,AZ,85712,AZ - Tucson,5302,Level 2 Upper GI Procedures,50.0,55,7537.86127272727,1367.84527272727,1081.26454545454
1424,30007,Verde Valley Medical Center,269 South Candy Lane,Cottonwood,AZ,86326,AZ - Phoenix,5302,Level 2 Upper GI Procedures,35.0,38,7292.71210526316,1484.13,1182.48
1446,30010,St. Mary's Hospital,1601 West St Mary's Road,Tucson,AZ,85745,AZ - Tucson,5302,Level 2 Upper GI Procedures,15.0,20,11544.85,1385.7435,1103.9235
1471,30011,St Joseph's Hospital,350 North Wilmot Road,Tucson,AZ,85711,AZ - Tucson,5302,Level 2 Upper GI Procedures,27.0,33,10075.8272727272,1385.77666666666,1102.29636363636
1505,30012,Yavapai Regional Medical Center,1003 Willow Creek Road,Prescott,AZ,86301,AZ - Phoenix,5302,Level 2 Upper GI Procedures,141.0,169,6729.47059171597,1464.37082840236,1163.76313609467
1536,30013,Yuma Regional Medical Center,2400 South Avenue A,Yuma,AZ,85364,AZ - Phoenix,5302,Level 2 Upper GI Procedures,143.0,148,10586.9179054054,1378.36094594594,1092.66344594594
1568,30014,John C. Lincoln North Mountain Hospital,250 East Dunlap Avenue,Phoenix,AZ,85020,AZ - Phoenix,5302,Level 2 Upper GI Procedures,27.0,35,10362.5994285714,1354.19457142857,1072.54457142857
1597,30022,Maricopa Medical Center,2601 East Roosevelt Street,Phoenix,AZ,85008,AZ - Phoenix,5302,Level 2 Upper GI Procedures,20.0,26,9831.52269230769,1385.74,1104.09
1619,30023,Flagstaff Medical Center,1200 North Beaver Street,Flagstaff,AZ,86001,AZ - Phoenix,5302,Level 2 Upper GI Procedures,60.0,63,7589.44428571427,1387.18777777777,1100.58301587301
1651,30024,St. Joseph's Hospital And Medical Center,350 West Thomas Road,Phoenix,AZ,85013,AZ - Phoenix,5302,Level 2 Upper GI Procedures,155.0,185,12568.5945945945,1382.03675675675,1099.04778378377
1714,30036,Chandler Regional Medical Center,1955 West Frye Road,Chandler,AZ,85224,AZ - Mesa,5302,Level 2 Upper GI Procedures,113.0,123,14613.3089430894,1367.78731707317,1086.13731707317
1738,30037,St Luke's Medical Center,1800 East Van Buren Street,Phoenix,AZ,85006,AZ - Phoenix,5302,Level 2 Upper GI Procedures,11.0,14,6300.38285714285,1385.76714285714,1102.75142857142
1767,30038,Scottsdale Osborn Medical Center,7400 East Osborn Road,Scottsdale,AZ,85251,AZ - Phoenix,5302,Level 2 Upper GI Procedures,44.0,53,7393.78509433962,1383.07811320754,1101.42811320754
1788,30043,Canyon Vista Medical Center,5700 East Highway 90,Sierra Vista,AZ,85635,AZ - Tucson,5302,Level 2 Upper GI Procedures,45.0,54,7911.89259259259,1484.13,1182.48
1809,30055,Kingman Regional Medical Center,3269 Stockton Hill Road,Kingman,AZ,86409,AZ - Phoenix,5302,Level 2 Upper GI Procedures,44.0,44,17782.5454545454,1435.4534090909,1140.53136363636
1840,30061,Banner Boswell Medical Center,10401 West Thunderbird Boulevard,Sun City,AZ,85351,AZ - Sun City,5302,Level 2 Upper GI Procedures,75.0,88,11053.4136363636,1373.28613636363,1087.00477272727
1861,30062,Summit Healthcare Regional Medical Center,2200 East Show Low Lake Road,Show Low,AZ,85901,AZ - Phoenix,5302,Level 2 Upper GI Procedures,14.0,16,9272.561875,1484.13,1182.48
1895,30064,Banner-University Medical Center Tucson Campus,1501 North Campbell Avenue,Tucson,AZ,85724,AZ - Tucson,5302,Level 2 Upper GI Procedures,163.0,185,7474.42827027027,1385.73999999999,1104.08999999999
1934,30065,Banner Desert Medical Center,1400 South  Dobson Road,Mesa,AZ,85202,AZ - Mesa,5302,Level 2 Upper GI Procedures,42.0,50,13432.3759999999,1305.99499999999,1024.23339999999
1974,30069,Havasu Regional Medical Center,101 Civic Center Lane,Lake Havasu City,AZ,86403,AZ - Phoenix,5302,Level 2 Upper GI Procedures,199.0,220,10716.9832272727,1466.57522727273,1162.47195454545
2015,30085,Northwest Medical Center,6200 North La Cholla Boulevard,Tucson,AZ,85741,AZ - Tucson,5302,Level 2 Upper GI Procedures,81.0,94,19332.2291489361,1341.53925531914,1058.09191489361
2057,30087,Scottsdale Shea Medical Center,9003 East Shea Boulevard,Scottsdale,AZ,85260,AZ - Phoenix,5302,Level 2 Upper GI Procedures,246.0,268,10414.8344029851,1350.38298507462,1068.16656716417
2084,30088,Banner Baywood Medical Center,6644 East Baywood Avenue,Mesa,AZ,85206,AZ - Mesa,5302,Level 2 Upper GI Procedures,56.0,71,9673.62112676056,1385.74,1104.08999999999
2116,30089,Banner Thunderbird Medical Center,5555 West Thunderbird Road,Glendale,AZ,85306,AZ - Phoenix,5302,Level 2 Upper GI Procedures,51.0,52,9541.915,1385.74,1104.08999999999
2143,30092,Honorhealth Deer Valley Medical Center,19829 North 27th Avenue,Phoenix,AZ,85027,AZ - Phoenix,5302,Level 2 Upper GI Procedures,17.0,17,8159.15294117647,1385.74,1104.09
2176,30093,Banner Del E. Webb Medical Center,14502 West Meeker Boulevard,Sun City West,AZ,85375,AZ - Sun City,5302,Level 2 Upper GI Procedures,304.0,324,10374.2665123455,1373.83064814814,1088.12351851852
2211,30094,Abrazo Arrowhead Campus,18701 North 67th Avenue,Glendale,AZ,85308,AZ - Phoenix,5302,Level 2 Upper GI Procedures,15.0,15,8714.97266666666,1385.93533333333,1094.52533333333
2232,30101,Western Arizona Regional Medical Center,2735 Silver Creek Road,Bullhead City,AZ,86442,NV - Las Vegas,5302,Level 2 Upper GI Procedures,12.0,12,31292.72,1435.39,1143.64
2265,30103,Mayo Clinic Hospital,5777 East Mayo Boulevard,Phoenix,AZ,85054,AZ - Phoenix,5302,Level 2 Upper GI Procedures,369.0,450,11512.3948222222,1368.52575555554,1088.85348888889
2319,30110,Abrazo West Campus,13677 West Mcdowell Road,Goodyear,AZ,85395,AZ - Phoenix,5302,Level 2 Upper GI Procedures,17.0,20,9783.913,1334.5595,1048.8855
2333,30111,Banner-University Medical Center South Campus,2800 East Ajo Way,Tucson,AZ,85713,AZ - Tucson,5302,Level 2 Upper GI Procedures,16.0,20,7564.2495,1337.8555,1048.8855
2361,30114,Oro Valley Hospital,1551 East Tangerine Road,Oro Valley,AZ,85755,AZ - Tucson,5302,Level 2 Upper GI Procedures,23.0,29,10861.1155172413,1385.74,1104.09
2380,30115,Banner Estrella Medical Center,9201 West Thomas Road,Phoenix,AZ,85037,AZ - Phoenix,5302,Level 2 Upper GI Procedures,71.0,86,11625.1368604651,1302.02337209302,1019.46872093023
2400,30117,Valley View Medical Center,5330 South Highway 95,Fort Mohave,AZ,86426,NV - Las Vegas,5302,Level 2 Upper GI Procedures,,11,13923.1645454545,1385.74,1104.09
2424,30119,Mercy Gilbert Medical Center,3555 South Val Vista Drive,Gilbert,AZ,85296,AZ - Mesa,5302,Level 2 Upper GI Procedures,16.0,17,19333.7058823529,1385.74,1104.09
2453,30121,"Mountain Vista Medical Center, Lp",1301 South Crismon Road,Mesa,AZ,85209,AZ - Mesa,5302,Level 2 Upper GI Procedures,17.0,21,9722.81333333333,1385.88571428571,1096.94857142857
2474,30122,Banner Gateway Medical Center,1900 North Higley Road,Gilbert,AZ,85234,AZ - Mesa,5302,Level 2 Upper GI Procedures,76.0,87,13360.1425287356,1348.67896551724,1066.01793103448
2500,30123,Scottsdale Thompson Peak Medical Center,7400 East Thompson Peak Parkway,Scottsdale,AZ,85255,AZ - Phoenix,5302,Level 2 Upper GI Procedures,65.0,71,7706.83492957746,1355.33309859155,1073.65563380281
2515,30130,Banner Ironwood Medical Center,37000 North Gantzel Road,Queen Creek,AZ,85140,AZ - Mesa,5302,Level 2 Upper GI Procedures,13.0,15,11378.9066666666,1385.74,1104.09
2545,40002,Johnson Regional Medical Center,1100 East Poplar Street,Clarksville,AR,72830,AR - Little Rock,5302,Level 2 Upper GI Procedures,35.0,38,2333.73868421052,1062.63921052631,836.216052631579
2573,40004,Washington Regional Medical Center,3215 N North Hills Boulevard,Fayetteville,AR,72703,AR - Springdale,5302,Level 2 Upper GI Procedures,57.0,66,5910.86636363636,1176.48242424242,931.442424242426
2609,40007,Chi-St Vincent Infirmary,Two St Vincent Circle,Little Rock,AR,72205,AR - Little Rock,5302,Level 2 Upper GI Procedures,29.0,33,9734.50515151515,1159.08,923.49
2645,40010,Mercy Hospital Northwest Arkansas,2710 South Rife Medical Lane,Rogers,AR,72758,AR - Springdale,5302,Level 2 Upper GI Procedures,90.0,112,5509.12955357143,1198.94517857142,953.666071428571
2673,40014,White County Medical Center,3214 East Race Avenue,Searcy,AR,72143,AR - Little Rock,5302,Level 2 Upper GI Procedures,34.0,39,4970.43794871794,1241.37,989.06
2707,40016,Uams Medical Center,4301 West Markham Street Mail Slot 612,Little Rock,AR,72205,AR - Little Rock,5302,Level 2 Upper GI Procedures,275.0,373,5355.45833780163,1148.57780160858,911.633029490611
2735,40017,North Arkansas Regional Medical Center,620 North Main Street,Harrison,AR,72601,AR - Springdale,5302,Level 2 Upper GI Procedures,28.0,29,3616.33,1255.71551724137,992.795862068965
2750,40019,Forrest City Medical Center,1601 Newcastle Road,Forrest City,AR,72335,TN - Memphis,5302,Level 2 Upper GI Procedures,15.0,15,14691.9306666666,1184.41,943.68
2777,40020,St Bernards Medical Center,225 E Jackson,Jonesboro,AR,72401,AR - Jonesboro,5302,Level 2 Upper GI Procedures,145.0,159,4051.23597484276,1183.86553459119,938.726352201258
2809,40022,Northwest Medical Center-Springdale,609 West Maple Avenue,Springdale,AR,72764,AR - Springdale,5302,Level 2 Upper GI Procedures,82.0,92,13060.9154347826,1149.68619565217,904.646195652175
2845,40026,Chi St. Vincent Hospital Hot Springs,300 Werner Street,Hot Springs,AR,71903,AR - Little Rock,5302,Level 2 Upper GI Procedures,41.0,42,8347.93428571428,1203.37,958.78
2878,40027,Baxter Regional Medical Center,624 Hospital Drive,Mountain Home,AR,72653,MO - Springfield,5302,Level 2 Upper GI Procedures,89.0,120,4142.37725,1257.34833333333,996.883833333333
2908,40029,Conway Regional Medical Center,2302 College Avenue,Conway,AR,72034,AR - Little Rock,5302,Level 2 Upper GI Procedures,63.0,70,4018.74628571428,1159.134,920.851
2941,40036,Baptist Health Medical Center North Little Rock,3333 Springhill Drive,North Little Rock,AR,72117,AR - Little Rock,5302,Level 2 Upper GI Procedures,36.0,41,5107.13219512195,1159.14804878048,920.156341463414
2962,40039,Arkansas Methodist Medical Center,900 West Kingshighway,Paragould,AR,72450,AR - Jonesboro,5302,Level 2 Upper GI Procedures,15.0,15,4412.86666666666,1114.64,888.09
2980,40041,St Marys Regional Medical Center,1808 West Main Street,Russellville,AR,72801,AR - Little Rock,5302,Level 2 Upper GI Procedures,21.0,22,13418.4568181818,1159.08,923.49
2991,40047,Five Rivers Medical Center,2801 Medical Center Drive,Pocahontas,AR,72455,AR - Jonesboro,5302,Level 2 Upper GI Procedures,18.0,18,2642.33166666666,1155.84222222222,910.048888888889
3024,40055,Sparks Regional Medical Center,1001 Towson Avenue,Fort Smith,AR,72902,AR - Fort Smith,5302,Level 2 Upper GI Procedures,182.0,209,9500.41004784693,1081.81511961722,854.79488038277
3056,40062,Mercy Hospital Fort Smith,7301 Rogers Ave,Fort Smith,AR,72917,AR - Fort Smith,5302,Level 2 Upper GI Procedures,59.0,71,5666.16704225353,1202.77084507042,955.65309859155
3094,40071,Jefferson Regional Medical Center,1600 West 40th Avenue,Pine Bluff,AR,71603,AR - Little Rock,5302,Level 2 Upper GI Procedures,33.0,34,7179.57352941176,1168.03617647058,929.834411764706
3129,40078,National Park Medical Center,1910 Malvern Avenue,Hot Springs,AR,71901,AR - Little Rock,5302,Level 2 Upper GI Procedures,84.0,91,17650.3631868131,1203.37747252747,958.415604395603
3148,40084,Saline Memorial Hospital,#1 Medical Park Drive,Benton,AR,72015,AR - Little Rock,5302,Level 2 Upper GI Procedures,38.0,44,3544.47568181818,1103.84045454545,872.970454545454
3165,40088,Medical Center Of South Arkansas,700 West Grove Street,El Dorado,AR,71730,AR - Little Rock,5302,Level 2 Upper GI Procedures,16.0,17,6558.18705882353,1210.49,964.46
3197,40114,Baptist Health Medical Center-Little Rock,"9601 Interstate 630, Exit 7",Little Rock,AR,72205,AR - Little Rock,5302,Level 2 Upper GI Procedures,137.0,159,6877.9551572327,1117.78691823899,882.196918238993
3238,40118,Nea Baptist Memorial Hospital,4800 East Johnson Avenue,Jonesboro,AR,72401,AR - Jonesboro,5302,Level 2 Upper GI Procedures,125.0,131,6491.15564885496,1137.65641221374,903.082442748091
3267,40119,White River Medical Center,1710 Harrison Street,Batesville,AR,72503,AR - Little Rock,5302,Level 2 Upper GI Procedures,87.0,101,5452.36970297029,1214.61168316831,964.32485148515
3294,40134,"Arkansas Heart Hospital, Llc",1701 S Shackleford Road,Little Rock,AR,72211,AR - Little Rock,5302,Level 2 Upper GI Procedures,13.0,13,4625.75615384615,1159.08846153846,923.071538461538
3338,50002,St Rose Hospital,27200 Calaroga Ave,Hayward,CA,94545,CA - Alameda County,5302,Level 2 Upper GI Procedures,17.0,17,15128.194117647,1894.6,1509.52
3359,50006,St Joseph Hospital,2700 Dolbeer St,Eureka,CA,95501,CA - Redding,5302,Level 2 Upper GI Procedures,39.0,48,17653.6779166666,1641.72041666666,1307.51208333333
3387,50007,Mills-Peninsula Medical Center,1501 Trousdale Drive,Burlingame,CA,94010,CA - San Mateo County,5302,Level 2 Upper GI Procedures,86.0,89,8357.88314606742,1872.36213483146,1491.78191011235
3431,50009,Queen Of The Valley Medical Center,1000 Trancas St,Napa,CA,94558,CA - Napa,5302,Level 2 Upper GI Procedures,33.0,36,13965.028611111,1781.40861111111,1416.42138888888
3461,50013,Adventist Health St Helena,10 Woodland Road,Saint Helena,CA,94574,CA - Napa,5302,Level 2 Upper GI Procedures,41.0,44,15400.4334090909,1772.7134090909,1411.2409090909
3502,50017,Mercy General Hospital,4001 J St,Sacramento,CA,95819,CA - Sacramento,5302,Level 2 Upper GI Procedures,60.0,67,9745.93507462686,1782.93,1420.55
3533,50022,Riverside Community Hospital,4445 Magnolia Avenue,Riverside,CA,92501,CA - San Bernardino,5302,Level 2 Upper GI Procedures,53.0,59,12990.123898305,1531.46,1220.19
3546,50024,Paradise Valley Hospital,2400 East 4th St,National City,CA,91950,CA - San Diego,5302,Level 2 Upper GI Procedures,,11,5002.94,1531.46,1220.19
3573,50025,Uc San Diego Health Hillcrest - Hillcrest Med Ctr,200 West Arbor Drive,San Diego,CA,92103,CA - San Diego,5302,Level 2 Upper GI Procedures,427.0,480,10338.9223958333,1531.48129166666,1219.14649999999
3617,50026,Grossmont Hospital,5555 Grossmont Center Drive Box 58,La Mesa,CA,91942,CA - San Diego,5302,Level 2 Upper GI Procedures,95.0,107,10570.9417757009,1520.07214953271,1208.00971962616
3635,50028,Mad River Community Hospital,3800 Janes Rd,Arcata,CA,95521,CA - Redding,5302,Level 2 Upper GI Procedures,21.0,23,9076.97652173913,1531.48391304347,1219.00913043478
3652,50030,Oroville Hospital,2767 Olive Highway,Oroville,CA,95966,CA - Chico,5302,Level 2 Upper GI Procedures,48.0,56,8466.22660714285,1491.69285714285,1179.90517857142
3676,50036,Bakersfield Memorial Hospital,420 34th St,Bakersfield,CA,93301,CA - Bakersfield,5302,Level 2 Upper GI Procedures,50.0,58,15863.0163793103,1531.54965517241,1215.78775862068
3695,50038,Santa Clara Valley Medical Center,751 South Bascom Avenue,San Jose,CA,95128,CA - San Jose,5302,Level 2 Upper GI Procedures,40.0,52,12414.2673076923,1894.65634615384,1506.76096153846
3730,50039,Enloe Medical Center,1531 Esplanade,Chico,CA,95926,CA - Chico,5302,Level 2 Upper GI Procedures,243.0,303,9044.13894389439,1506.84534653466,1194.06306930693
3749,50040,Lac/Olive View-Ucla Medical Center,14445 Olive View Drive,Sylmar,CA,91342,CA - Los Angeles,5302,Level 2 Upper GI Procedures,14.0,16,6562.5625,1531.46,1220.19
3760,50042,St Elizabeth Community Hospital,2550 Sister Mary Columba Drive,Red Bluff,CA,96080,CA - Chico,5302,Level 2 Upper GI Procedures,,12,6591.92416666666,1758.32166666666,1398.3675
