npi,np_last_orgname,np_entity_code,np_city,np_state,p_type,place_of_service,HCPCS,hcpcs_description,unique_beneficiary,bene_day_srvc_cnt,avg_medicare_allowed,avg_medicare_pymt,ZIP
1003887225,CENTRAL TEXAS ENDOSCOPY CENTER LLC,O,BRYAN,TX,Ambulatory Surgical Center,F,43251,"Removal of polyps or growths of esophagus, stomach, and/or upper small bowel using an endoscope",13,13,576.83,449.95307692,77802
1003887845,"AUSTIN ENDOSCOPY CENTER II, LP",O,AUSTIN,TX,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,21,24,598.64,469.33,78745
1003888595,"LOUISVILLE ENDOSCOPY CENTER, PLLC",O,LOUISVILLE,KY,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,76,86,573.81,442.60372093,40217
1003888710,DIGESTIVE ENDOSCOPY CENTER LLC,O,KETTERING,OH,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,131,138,574.6057971,442.07311594,45429
1003888710,DIGESTIVE ENDOSCOPY CENTER LLC,O,KETTERING,OH,Ambulatory Surgical Center,F,43250,"Removal of polyps or growths of esophagus, stomach, and/or upper small bowel using an endoscope",16,16,578.8,451.28375,45429
1003889346,ENDOSCOPY GROUP LLC,O,PENSACOLA,FL,Ambulatory Surgical Center,F,43242,"Ultrasound guided needle aspiration or biopsy of esophagus, stomach, and/or upper small bowel using an endoscope",89,91,545.09,425.40131868,32503
1003889346,ENDOSCOPY GROUP LLC,O,PENSACOLA,FL,Ambulatory Surgical Center,F,43244,Tying of dilated veins of stomach and/or esophagus using an endoscope,18,24,545.09,421.37208333,32503
1003889346,ENDOSCOPY GROUP LLC,O,PENSACOLA,FL,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,19,19,545.09,419.79894737,32503
1003889346,ENDOSCOPY GROUP LLC,O,PENSACOLA,FL,Ambulatory Surgical Center,F,43251,"Removal of polyps or growths of esophagus, stomach, and/or upper small bowel using an endoscope",25,25,534.1884,407.354,32503
1003889346,ENDOSCOPY GROUP LLC,O,PENSACOLA,FL,Ambulatory Surgical Center,F,43259,"Ultrasound examination of esophagus, stomach and/or upper small bowel using an endoscope",110,113,545.09,419.15831858,32503
1003889379,"THE WALDORF ENDOSCOPY ASC, LLC",O,WALDORF,MD,Ambulatory Surgical Center,F,43251,"Removal of polyps or growths of esophagus, stomach, and/or upper small bowel using an endoscope",13,13,594.63461538,430.79,20602
1013011162,BAY AREA ENDOSCOPY CENTER LIMITED PARTNERSHIP,O,ST PETERSBURG,FL,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,11,13,579.44,454.14384615,33709
1013227248,"TUSCAN SURGERY CENTER AT LAS COLINAS, LLC",O,IRVING,TX,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,13,13,605.34,438.07384615,75039
1013319144,DOCTORS HOSPITAL PHYSICIAN SERVICES LLC,O,CANTON,OH,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,12,14,560.06,421.97,44718
1013372986,"GI WELLNESS CENTER OF FREDERICK, LLC",O,FREDERICK,MD,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,18,19,594.73421053,435.66631579,21702
1013967025,CLEVELAND CENTER FOR DIGESTIVE,O,BEACHWOOD,OH,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,19,38,583.67,457.6,44122
1013967025,CLEVELAND CENTER FOR DIGESTIVE,O,BEACHWOOD,OH,Ambulatory Surgical Center,F,43250,"Removal of polyps or growths of esophagus, stomach, and/or upper small bowel using an endoscope",18,20,583.67,457.6,44122
1023015989,"TUCSON GASTROENTEROLOGY INSTITUTE, LLC",O,TUCSON,AZ,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,35,38,571.35,446.77736842,85712
1023036688,"BAYSIDE AMBULATORY CENTER, LLC",O,MIAMI,FL,Ambulatory Surgical Center,F,43251,"Removal of polyps or growths of esophagus, stomach, and/or upper small bowel using an endoscope",46,46,593.89,461.83173913,33133
1023039682,BEVERLY HILLS ENDOSCOPY LLC,O,BEVERLY HILLS,CA,Ambulatory Surgical Center,F,43270,"Destruction of growths on esophagus, stomach, and/or upper small bowel using an endoscope",88,93,681.82924731,534.55913978,90210
1023071560,"MEDICAL PLAZA AMBULATORY SURGERY CENTER ASSOCIATES, L.P.",O,FORT WORTH,TX,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,17,20,578.0385,425.9295,76104
1023088473,"PANAMA CITY SURGERY CENTER,LLC",O,PANAMA CITY,FL,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,51,58,547.32793103,423.72327586,32405
1023218500,SAN MARTIN SURGERY CENTER LLC,O,LAS VEGAS,NV,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,16,16,672.33,519.53625,89113
1023257300,"CAROLINA DIGESTIVE DISEASES, PA",O,GREENVILLE,NC,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,19,22,588.78,461.06090909,27834
1023257300,"CAROLINA DIGESTIVE DISEASES, PA",O,GREENVILLE,NC,Ambulatory Surgical Center,F,43251,"Removal of polyps or growths of esophagus, stomach, and/or upper small bowel using an endoscope",11,11,588.78,461.6,27834
1033181862,EL PASO ASC LP,O,EL PASO,TX,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,36,38,547.04,413.28342105,79902
1033195912,SURGICAL ASSOCIATES ENDOSCOPY CLINIC LLC,O,ABERDEEN,SD,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,16,18,380.0,265.60944444,57401
1033199906,"WEYMOUTH ENDOSCOPY, LLC",O,SOUTH WEYMOUTH,MA,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,15,16,702.43,550.7,02190
1033210760,"CARLISLE ENDOSCOPY CENTER, LTD.",O,CARLISLE,PA,Ambulatory Surgical Center,F,43251,"Removal of polyps or growths of esophagus, stomach, and/or upper small bowel using an endoscope",18,18,589.67,446.36777778,17015
1033214903,SOUTH HILLS DIAGNOSTIC & TREATMENT CENTER LP,O,PITTSBURGH,PA,Ambulatory Surgical Center,F,43251,"Removal of polyps or growths of esophagus, stomach, and/or upper small bowel using an endoscope",33,33,568.06,436.82787879,15241
1033246459,COTTON-ONEIL CLINIC ENDOSCOPY CENTER RVOC TR,O,TOPEKA,KS,Ambulatory Surgical Center,F,43242,"Ultrasound guided needle aspiration or biopsy of esophagus, stomach, and/or upper small bowel using an endoscope",13,15,567.42,438.934,66606
1033246459,COTTON-ONEIL CLINIC ENDOSCOPY CENTER RVOC TR,O,TOPEKA,KS,Ambulatory Surgical Center,F,43246,Insertion of stomach tube using an endoscope,11,12,543.7775,425.19833333,66606
1033246459,COTTON-ONEIL CLINIC ENDOSCOPY CENTER RVOC TR,O,TOPEKA,KS,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,105,163,560.45779141,431.42018405,66606
1033246459,COTTON-ONEIL CLINIC ENDOSCOPY CENTER RVOC TR,O,TOPEKA,KS,Ambulatory Surgical Center,F,43251,"Removal of polyps or growths of esophagus, stomach, and/or upper small bowel using an endoscope",19,21,553.91,412.56714286,66606
1033246459,COTTON-ONEIL CLINIC ENDOSCOPY CENTER RVOC TR,O,TOPEKA,KS,Ambulatory Surgical Center,F,43259,"Ultrasound examination of esophagus, stomach and/or upper small bowel using an endoscope",29,29,567.42,439.91275862,66606
1033368378,MISSION ENDOSCOPY CENTER INC,O,MISSION VIEJO,CA,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,27,29,674.04,528.45,92691
1033448782,ENDOSCOPY SURGERY CENTER OF SILICON VALLEY LLC,O,SAN JOSE,CA,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,12,12,849.93,621.66,95124
1043253263,DDSI SOUTH AEC LLC,O,OKLAHOMA CITY,OK,Ambulatory Surgical Center,F,43245,Dilation of stomach outlet using an endoscope,11,11,527.87272727,393.68181818,73109
1043253263,DDSI SOUTH AEC LLC,O,OKLAHOMA CITY,OK,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,22,30,580.66,449.125,73109
1043253263,DDSI SOUTH AEC LLC,O,OKLAHOMA CITY,OK,Ambulatory Surgical Center,F,43251,"Removal of polyps or growths of esophagus, stomach, and/or upper small bowel using an endoscope",12,12,580.66,444.99416667,73109
1043282775,BALTIMORE ENDOSCOPY ASC LLC,O,BALTIMORE,MD,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,49,50,595.3258,466.7368,21229
1043283906,"NAUGATUCK VALLEY ENDOSCOPY CENTER, LLC",O,WATERBURY,CT,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,11,11,675.13,516.25727273,06708
1043297872,"CENTRAL JERSEY AMBULATORY SURGICAL CENTER, LLC",O,HILLSBOROUGH,NJ,Ambulatory Surgical Center,F,44361,Biopsy of small bowel using an endoscope,16,16,641.45,501.891875,08844
1043368426,SOUTHLAKE CLINIC INC PS,O,RENTON,WA,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,44,45,655.66,495.67444444,98055
1043497019,PIKESVILLE MD ENDOSCOPY ASC LLC,O,BALTIMORE,MD,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,11,14,595.84,466.33142857,21208
1053385328,MIDWEST ENDOSCOPY SERVICES LLC,O,OMAHA,NE,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,21,25,580.1032,440.4324,68114
1053385328,MIDWEST ENDOSCOPY SERVICES LLC,O,OMAHA,NE,Ambulatory Surgical Center,F,43251,"Removal of polyps or growths of esophagus, stomach, and/or upper small bowel using an endoscope",11,11,568.41272727,432.58636364,68114
1053391169,ENDOSCOPY CENTER OF SOUTH BAY LP,O,TORRANCE,CA,Ambulatory Surgical Center,F,43251,"Removal of polyps or growths of esophagus, stomach, and/or upper small bowel using an endoscope",15,16,691.32,533.033125,90505
1053412189,MILAN S CHAKRABARTY MD,O,HEMET,CA,Ambulatory Surgical Center,F,43259,"Ultrasound examination of esophagus, stomach and/or upper small bowel using an endoscope",30,30,660.99,518.21,92543
1053418137,TRI-CITY REGIONAL SURGERY CENTER LLC,O,RICHLAND,WA,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,14,14,571.12714286,436.27285714,99352
1053505511,"DIGESTIVE DISEASE CENTER OF CENTRAL NEW YORK, LLC",O,LIVERPOOL,NY,Ambulatory Surgical Center,F,43251,"Removal of polyps or growths of esophagus, stomach, and/or upper small bowel using an endoscope",16,16,605.46,474.68,13088
1053505511,"DIGESTIVE DISEASE CENTER OF CENTRAL NEW YORK, LLC",O,LIVERPOOL,NY,Ambulatory Surgical Center,F,43270,"Destruction of growths on esophagus, stomach, and/or upper small bowel using an endoscope",12,25,605.46,474.68,13088
1053574244,"SURGERY CENTER AT UNIVERSITY PARK, LLC",O,SARASOTA,FL,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,19,21,599.65,466.84333333,34232
1053770149,"AURORA SURGERY CENTERS, LLC",O,GERMANTOWN,WI,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,18,18,605.27,433.80222222,53022
1063417285,LARGO ENDOSCOPY CENTER LP,O,LARGO,FL,Ambulatory Surgical Center,F,43251,"Removal of polyps or growths of esophagus, stomach, and/or upper small bowel using an endoscope",16,16,579.44,444.82125,33777
1063419513,ENDOSCOPY CENTER OF WESTERN NEW YORK LLC,O,WILLIAMSVILLE,NY,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,25,25,598.9732,453.74,14221
1063458909,WOODSTOCK ENDOSCOPY CENTER,O,WOODSTOCK,GA,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,14,14,587.9,460.91,30188
1063519866,FREDERICK ENDOSCOPY CENTER LLC,O,FREDERICK,MD,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,21,26,602.35,472.24,21704
1063520070,EAST CAROLINA GASTROENTEROLOGY ENDOSCOPY CENTER INC,O,JACKSONVILLE,NC,Ambulatory Surgical Center,F,43251,"Removal of polyps or growths of esophagus, stomach, and/or upper small bowel using an endoscope",25,26,530.27,415.74,28546
1063593952,CONNECTICUT GI ENDOSCOPY CENTER LLC,O,BLOOMFIELD,CT,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,12,12,635.58,498.29,06002
1063659605,HOWARD COMMUNITY SURGERY CENTER LLC,O,KOKOMO,IN,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,31,31,570.21225806,434.99096774,46902
1063659605,HOWARD COMMUNITY SURGERY CENTER LLC,O,KOKOMO,IN,Ambulatory Surgical Center,F,44360,Examination of small bowel using an endoscope,15,15,579.56,454.38,46902
1063659605,HOWARD COMMUNITY SURGERY CENTER LLC,O,KOKOMO,IN,Ambulatory Surgical Center,F,44361,Biopsy of small bowel using an endoscope,40,40,565.071,437.82125,46902
1063693588,SOUTHWEST ENDOSCOPY & SURGICENTER LLC,O,GILBERT,AZ,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,51,52,612.67,466.30788462,85234
1063720365,WASATCH FRONT SURGERY CENTER LLC,O,WEST VALLEY CITY,UT,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,11,12,595.72,459.77166667,84120
1063838357,METROEAST ENDOSCOPIC SURGERY CENTER,O,FAIRVIEW HEIGHTS,IL,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,28,33,584.61,446.97515152,62208
1063838357,METROEAST ENDOSCOPIC SURGERY CENTER,O,FAIRVIEW HEIGHTS,IL,Ambulatory Surgical Center,F,43259,"Ultrasound examination of esophagus, stomach and/or upper small bowel using an endoscope",44,44,577.96681818,438.52590909,62208
1063838357,METROEAST ENDOSCOPIC SURGERY CENTER,O,FAIRVIEW HEIGHTS,IL,Ambulatory Surgical Center,F,44361,Biopsy of small bowel using an endoscope,23,23,584.61,453.05434783,62208
1073546875,STRAND GASTROINTESTINAL ENDOSCOPY CENTER,O,MYRTLE BEACH,SC,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,122,153,558.81,435.46679739,29572
1073571766,BOCA RATON OUTPATIENT SURGERY & LASER CENTER LTD,O,BOCA RATON,FL,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,65,75,584.28,452.64186667,33432
1073581880,AMBULATORY SURGERY CENTER LP,O,WICHITA,KS,Ambulatory Surgical Center,F,43251,"Removal of polyps or growths of esophagus, stomach, and/or upper small bowel using an endoscope",20,20,538.156,409.3085,67214
1073587416,SYRACUSE ENDOSCOPY ASSOCIATES,O,SYRACUSE,NY,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,27,35,605.46,472.93085714,13210
1073588646,ESCONDIDO CA ENDOSCOPY ASC LP,O,ESCONDIDO,CA,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,55,55,687.79,533.03781818,92025
1073613162,ROCKY MOUNTAIN SURGERY CENTER LLC,O,ENGLEWOOD,CO,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,22,25,618.69,485.05,80110
1073621579,SHORELINE SURGERY CENTER LLC,O,GUILFORD,CT,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,24,31,664.24096774,520.53129032,06437
1073621579,SHORELINE SURGERY CENTER LLC,O,GUILFORD,CT,Ambulatory Surgical Center,F,43251,"Removal of polyps or growths of esophagus, stomach, and/or upper small bowel using an endoscope",12,12,675.13,517.34416667,06437
1073682159,CENTRAL MASSACHUSETTS AMBULATORY ENDOSCOPY CENTER LLC,O,LEOMINSTER,MA,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,73,76,634.21934211,487.48631579,01453
1073758298,BAPTIST SURGERY AND ENDOSCOPY CENTERS LLC,O,MIAMI,FL,Ambulatory Surgical Center,F,43242,"Ultrasound guided needle aspiration or biopsy of esophagus, stomach, and/or upper small bowel using an endoscope",11,11,593.89,439.52454545,33173
1083602411,"RENO ENDOSCOPY CENTER,LTD",O,RENO,NV,Ambulatory Surgical Center,F,43244,Tying of dilated veins of stomach and/or esophagus using an endoscope,14,18,594.78,464.64055556,89502
1083602411,"RENO ENDOSCOPY CENTER,LTD",O,RENO,NV,Ambulatory Surgical Center,F,43251,"Removal of polyps or growths of esophagus, stomach, and/or upper small bowel using an endoscope",25,25,594.78,442.8232,89502
1083643852,AMARILLO COLONOSCOPY CENTER LP,O,AMARILLO,TX,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,20,23,554.25,433.50130435,79124
1083655823,DIGESTIVE DISEASE SPECIALISTS INC,O,OKLAHOMA CITY,OK,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,16,17,563.58176471,441.85,73112
1083655823,DIGESTIVE DISEASE SPECIALISTS INC,O,OKLAHOMA CITY,OK,Ambulatory Surgical Center,F,43251,"Removal of polyps or growths of esophagus, stomach, and/or upper small bowel using an endoscope",22,22,541.06954545,424.19954545,73112
1083758320,"GRANITE PEAKS ENDOSCOPY,LLC",O,SANDY,UT,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,64,73,595.72,465.08465753,84092
1093085904,ARIZONA ADVANCED ENDOSCOPY LLC,O,GILBERT,AZ,Ambulatory Surgical Center,F,43237,"Ultrasound examination of esophagus, stomach, and/or upper small bowel using an endoscope",77,78,604.81538462,447.95910256,85295
1093085904,ARIZONA ADVANCED ENDOSCOPY LLC,O,GILBERT,AZ,Ambulatory Surgical Center,F,43242,"Ultrasound guided needle aspiration or biopsy of esophagus, stomach, and/or upper small bowel using an endoscope",52,55,612.67,460.15272727,85295
1093085904,ARIZONA ADVANCED ENDOSCOPY LLC,O,GILBERT,AZ,Ambulatory Surgical Center,F,43251,"Removal of polyps or growths of esophagus, stomach, and/or upper small bowel using an endoscope",15,16,536.0875,420.2975,85295
1093085904,ARIZONA ADVANCED ENDOSCOPY LLC,O,GILBERT,AZ,Ambulatory Surgical Center,F,43259,"Ultrasound examination of esophagus, stomach and/or upper small bowel using an endoscope",109,109,612.67,476.29642202,85295
1093736795,HATTIESBURG CLINIC PA,O,HATTIESBURG,MS,Ambulatory Surgical Center,F,43244,Tying of dilated veins of stomach and/or esophagus using an endoscope,11,12,545.12,419.1875,39401
1093736795,HATTIESBURG CLINIC PA,O,HATTIESBURG,MS,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,11,14,545.12,337.85642857,39401
1093736795,HATTIESBURG CLINIC PA,O,HATTIESBURG,MS,Ambulatory Surgical Center,F,43251,"Removal of polyps or growths of esophagus, stomach, and/or upper small bowel using an endoscope",21,22,532.73090909,384.94590909,39401
1093824872,DIGESTIVE CARE OF EVANSVILLE PC,O,EVANSVILLE,IN,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,113,127,568.01181102,440.16842520000006,47714
1093824872,DIGESTIVE CARE OF EVANSVILLE PC,O,EVANSVILLE,IN,Ambulatory Surgical Center,F,43251,"Removal of polyps or growths of esophagus, stomach, and/or upper small bowel using an endoscope",31,32,577.1,439.8703125,47714
1093824872,DIGESTIVE CARE OF EVANSVILLE PC,O,EVANSVILLE,IN,Ambulatory Surgical Center,F,43259,"Ultrasound examination of esophagus, stomach and/or upper small bowel using an endoscope",173,176,577.1,442.73653409,47714
1093993727,"CAROLINA MOUNTAIN GASTROENTEROLOGY ENDOSCOPY CENTER, LLC",O,HENDERSONVILLE,NC,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,249,260,561.43573077,437.33407692,28791
1104055425,WARTBURG SURGERY CENTER LLC,O,WARTBURG,TN,Ambulatory Surgical Center,F,43245,Dilation of stomach outlet using an endoscope,12,14,299.88571429,235.10857143,37887
1104055425,WARTBURG SURGERY CENTER LLC,O,WARTBURG,TN,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,36,41,512.0,401.40487805,37887
1104067115,SUTTER BAY MEDICAL FOUNDATION,O,PALO ALTO,CA,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,43,48,849.93,664.365,94301
1104819424,VALLEY AMBULATORY SURGERY CENTER,O,ST CHARLES,IL,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,34,39,610.43230769,477.58846154,60175
1104822808,AGMG ENDOSCOPY CENTER A GENERAL PARTNERSHIP,O,ANAHEIM,CA,Ambulatory Surgical Center,F,44361,Biopsy of small bowel using an endoscope,22,22,674.04,521.92818182,92801
1104883784,"FORT WORTH ENDOSCOPY CENTERS, LLC",O,FORT WORTH,TX,Ambulatory Surgical Center,F,43251,"Removal of polyps or growths of esophagus, stomach, and/or upper small bowel using an endoscope",17,17,592.86,463.28294118,76104
1104947357,TARRANT COUNTY SURGERY CENTER LP,O,ARLINGTON,TX,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,31,33,574.89454545,450.71515152,76015
1114035946,LAFAYETTE GENERAL ENDOSCOPY CENTER INC,O,LAFAYETTE,LA,Ambulatory Surgical Center,F,43242,"Ultrasound guided needle aspiration or biopsy of esophagus, stomach, and/or upper small bowel using an endoscope",28,30,524.12666667,390.36633333,70503
1114035946,LAFAYETTE GENERAL ENDOSCOPY CENTER INC,O,LAFAYETTE,LA,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,67,86,535.89534884,417.93790698,70503
1114035946,LAFAYETTE GENERAL ENDOSCOPY CENTER INC,O,LAFAYETTE,LA,Ambulatory Surgical Center,F,43259,"Ultrasound examination of esophagus, stomach and/or upper small bowel using an endoscope",31,32,542.2,416.39,70503
1114035946,LAFAYETTE GENERAL ENDOSCOPY CENTER INC,O,LAFAYETTE,LA,Ambulatory Surgical Center,F,43270,"Destruction of growths on esophagus, stomach, and/or upper small bowel using an endoscope",11,13,542.2,425.08,70503
1114126596,CORAL RIDGE OUTPATIENT CENTER LLC,O,OAKLAND PARK,FL,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,23,26,601.56,471.62,33334
1114126596,CORAL RIDGE OUTPATIENT CENTER LLC,O,OAKLAND PARK,FL,Ambulatory Surgical Center,F,44361,Biopsy of small bowel using an endoscope,11,11,601.56,471.62,33334
1114922192,"GASTROENTEROLOGY ASSOCIATES ENDOSCOPY CENTER, LLC",O,REDDING,CA,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,17,18,759.69,593.51555556,96001
1114922192,"GASTROENTEROLOGY ASSOCIATES ENDOSCOPY CENTER, LLC",O,REDDING,CA,Ambulatory Surgical Center,F,43251,"Removal of polyps or growths of esophagus, stomach, and/or upper small bowel using an endoscope",44,47,751.60829787,575.88255319,96001
1114952686,NORTH RICHLAND HILLS ENDOSCOPY CENTER LLC,O,NORTH RICHLAND HILLS,TX,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,15,15,592.86,464.8,76180
1114952686,NORTH RICHLAND HILLS ENDOSCOPY CENTER LLC,O,NORTH RICHLAND HILLS,TX,Ambulatory Surgical Center,F,43251,"Removal of polyps or growths of esophagus, stomach, and/or upper small bowel using an endoscope",20,20,592.86,464.8,76180
1114965803,ADVANCED ENDOSCOPY & SURGICAL CENTER LLC,O,EATONTOWN,NJ,Ambulatory Surgical Center,F,43250,"Removal of polyps or growths of esophagus, stomach, and/or upper small bowel using an endoscope",14,14,696.4,545.98,07724
1114965803,ADVANCED ENDOSCOPY & SURGICAL CENTER LLC,O,EATONTOWN,NJ,Ambulatory Surgical Center,F,43251,"Removal of polyps or growths of esophagus, stomach, and/or upper small bowel using an endoscope",46,48,696.4,538.82229167,07724
1114980166,NEW PORT RICHEY SURGERY CENTER LTD,O,TRINITY,FL,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,17,18,498.96222222,368.965,34655
1114980166,NEW PORT RICHEY SURGERY CENTER LTD,O,TRINITY,FL,Ambulatory Surgical Center,F,43251,"Removal of polyps or growths of esophagus, stomach, and/or upper small bowel using an endoscope",26,26,579.44,454.28,34655
1114985611,ALOHA SURGICAL CENTER LLC,O,KAHULUI,HI,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,16,18,642.7,434.69555556,96732
1114996774,REDBIRD SQUARE ENDOSCOPY CENTER LLC,O,DALLAS,TX,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,13,14,605.34,457.66214286,75237
